p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran" ?resultsDir "./arizona_rram_1t1r.raw") 130n) (-real)
447.0,544.5E3
448.0,544.5E3
449.0,544.5E3
450.0,544.5E3
451.0,544.5E3
452.0,544.5E3
453.0,544.5E3
454.0,544.5E3
455.0,544.5E3
456.0,544.5E3
457.0,544.5E3
458.0,544.5E3
459.0,544.5E3
460.0,544.6E3
461.0,544.6E3
462.0,544.6E3
463.0,544.6E3
464.0,544.6E3
465.0,544.6E3
466.0,544.6E3
467.0,544.6E3
468.0,544.6E3
469.0,544.6E3
470.0,544.6E3
471.0,544.6E3
472.0,544.6E3
473.0,544.6E3
474.0,544.6E3
475.0,544.6E3
476.0,544.6E3
477.0,544.6E3
478.0,544.6E3
479.0,544.6E3
480.0,544.6E3
481.0,544.6E3
482.0,544.6E3
483.0,544.6E3
484.0,544.6E3
485.0,544.6E3
486.0,544.6E3
487.0,544.6E3
488.0,544.6E3
489.0,544.6E3
490.0,544.6E3
491.0,544.6E3
492.0,544.6E3
493.0,544.6E3
494.0,544.6E3
495.0,544.6E3
496.0,544.6E3
497.0,544.6E3
498.0,544.6E3
499.0,544.6E3
500.0,544.6E3
501.0,544.6E3
502.0,544.6E3
503.0,544.6E3
504.0,544.6E3
505.0,544.6E3
506.0,544.6E3
507.0,544.6E3
508.0,544.6E3
509.0,544.6E3
510.0,544.6E3
511.0,544.6E3
512.0,544.6E3
513.0,544.6E3
514.0,544.6E3
515.0,544.7E3
516.0,544.7E3
517.0,544.7E3
518.0,544.7E3
519.0,544.7E3
520.0,544.7E3
521.0,544.7E3
522.0,544.7E3
523.0,544.7E3
524.0,544.7E3
525.0,544.7E3
526.0,544.7E3
527.0,544.7E3
528.0,544.7E3
529.0,544.7E3
530.0,544.7E3
531.0,544.7E3
532.0,544.7E3
533.0,544.7E3
534.0,544.7E3
535.0,544.7E3
536.0,544.7E3
537.0,544.7E3
538.0,544.7E3
539.0,544.7E3
540.0,544.7E3
541.0,544.7E3
542.0,544.7E3
543.0,544.7E3
544.0,544.7E3
545.0,544.7E3
546.0,544.7E3
547.0,544.7E3
548.0,544.7E3
549.0,544.7E3
550.0,544.7E3
551.0,544.7E3
552.0,544.7E3
553.0,544.7E3
554.0,544.7E3
555.0,544.7E3
556.0,544.7E3
557.0,544.7E3
558.0,544.7E3
559.0,544.7E3
560.0,544.7E3
561.0,544.7E3
562.0,544.7E3
563.0,544.7E3
564.0,544.7E3
565.0,544.7E3
566.0,544.7E3
567.0,544.7E3
568.0,544.7E3
569.0,544.7E3
570.0,544.7E3
571.0,544.7E3
572.0,544.7E3
573.0,544.7E3
574.0,544.7E3
575.0,544.7E3
576.0,544.7E3
577.0,544.7E3
578.0,544.7E3
579.0,544.7E3
580.0,544.7E3
581.0,544.7E3
582.0,544.7E3
583.0,544.7E3
584.0,544.7E3
585.0,544.7E3
586.0,544.7E3
587.0,544.7E3
588.0,544.7E3
589.0,544.7E3
590.0,544.7E3
591.0,544.7E3
592.0,544.7E3
593.0,544.7E3
594.0,544.7E3
595.0,544.7E3
596.0,544.7E3
597.0,544.7E3
598.0,544.7E3
599.0,544.7E3
600.0,544.7E3
601.0,544.7E3
602.0,544.7E3
603.0,544.7E3
604.0,544.7E3
605.0,544.7E3
606.0,544.7E3
607.0,544.7E3
608.0,544.7E3
609.0,544.7E3
610.0,544.7E3
611.0,544.7E3
612.0,544.7E3
613.0,544.7E3
614.0,544.7E3
615.0,544.7E3
616.0,544.7E3
617.0,544.7E3
618.0,544.7E3
619.0,544.7E3
620.0,544.7E3
621.0,544.7E3
622.0,544.7E3
623.0,544.7E3
624.0,544.7E3
625.0,544.7E3
626.0,544.7E3
627.0,544.7E3
