p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran") 130n) (-real)
420.0,1.478E6
421.0,1.481E6
422.0,1.483E6
423.0,1.486E6
424.0,1.488E6
425.0,1.491E6
426.0,1.493E6
427.0,1.496E6
428.0,1.498E6
429.0,1.501E6
430.0,1.503E6
431.0,1.505E6
432.0,1.507E6
433.0,1.509E6
434.0,1.512E6
435.0,1.514E6
436.0,1.516E6
437.0,1.518E6
438.0,1.520E6
439.0,1.522E6
440.0,1.524E6
441.0,1.525E6
442.0,1.527E6
443.0,1.529E6
444.0,1.531E6
445.0,1.532E6
446.0,1.534E6
447.0,1.536E6
448.0,1.537E6
449.0,1.539E6
450.0,1.540E6
451.0,1.542E6
452.0,1.543E6
453.0,1.545E6
454.0,1.546E6
455.0,1.548E6
456.0,1.549E6
457.0,1.550E6
458.0,1.552E6
459.0,1.553E6
460.0,1.554E6
461.0,1.556E6
462.0,1.557E6
463.0,1.558E6
464.0,1.559E6
465.0,1.560E6
466.0,1.561E6
467.0,1.563E6
468.0,1.564E6
469.0,1.565E6
470.0,1.566E6
471.0,1.567E6
472.0,1.568E6
473.0,1.569E6
474.0,1.570E6
475.0,1.571E6
476.0,1.572E6
477.0,1.573E6
478.0,1.573E6
479.0,1.574E6
480.0,1.575E6
481.0,1.576E6
482.0,1.577E6
483.0,1.578E6
484.0,1.578E6
485.0,1.579E6
486.0,1.580E6
487.0,1.581E6
488.0,1.581E6
489.0,1.582E6
490.0,1.583E6
491.0,1.584E6
492.0,1.584E6
493.0,1.585E6
494.0,1.586E6
495.0,1.586E6
496.0,1.587E6
497.0,1.587E6
498.0,1.588E6
499.0,1.589E6
500.0,1.589E6
501.0,1.590E6
502.0,1.590E6
503.0,1.591E6
504.0,1.591E6
505.0,1.592E6
506.0,1.592E6
507.0,1.593E6
508.0,1.593E6
509.0,1.594E6
510.0,1.594E6
511.0,1.595E6
512.0,1.595E6
513.0,1.596E6
514.0,1.596E6
515.0,1.597E6
516.0,1.597E6
517.0,1.597E6
518.0,1.598E6
519.0,1.598E6
520.0,1.599E6
521.0,1.599E6
522.0,1.599E6
523.0,1.600E6
524.0,1.600E6
525.0,1.601E6
526.0,1.601E6
527.0,1.601E6
528.0,1.602E6
529.0,1.602E6
530.0,1.602E6
531.0,1.603E6
532.0,1.603E6
533.0,1.603E6
534.0,1.604E6
535.0,1.604E6
536.0,1.604E6
537.0,1.604E6
538.0,1.605E6
539.0,1.605E6
540.0,1.605E6
541.0,1.605E6
542.0,1.606E6
543.0,1.606E6
544.0,1.606E6
545.0,1.607E6
546.0,1.607E6
547.0,1.607E6
548.0,1.607E6
549.0,1.607E6
550.0,1.608E6
551.0,1.608E6
552.0,1.608E6
553.0,1.608E6
554.0,1.609E6
555.0,1.609E6
556.0,1.609E6
