p_level ,"value(getData(""rram_0.mem_0:rram_r_read"" ?result ""tran"") 130n) (-real)","value(getData(""rram_0.mem_0:rram_r_read"" ?result ""tran"") 130n) (-real)"
553,2308000,2308000
554,2309000,2309000
555,2309000,2309000
556,2309000,2309000
557,2310000,2310000
558,2310000,2310000
559,2310000,2310000
560,2311000,2311000
561,2311000,2311000
562,2311000,2311000
563,2312000,2312000
564,2312000,2312000
565,2312000,2312000
566,2312000,2312000
567,2313000,2313000
568,2313000,2313000
569,2313000,2313000
570,2314000,2314000
571,2314000,2314000
572,2314000,2314000
573,2314000,2314000
574,2315000,2315000
575,2315000,2315000
576,2315000,2315000
577,2315000,2315000
578,2316000,2316000
579,2316000,2316000
580,2316000,2316000
581,2316000,2316000
582,2317000,2317000
583,2317000,2317000
584,2317000,2317000
585,2317000,2317000
586,2318000,2318000
587,2318000,2318000
588,2318000,2318000
589,2318000,2318000
590,2318000,2318000
591,2319000,2319000
592,2319000,2319000
593,2319000,2319000
594,2319000,2319000
595,2319000,2319000
596,2319000,2319000
597,2320000,2320000
598,2320000,2320000
599,2320000,2320000
600,2320000,2320000
601,2320000,2320000
602,2321000,2321000
603,2321000,2321000
604,2321000,2321000
605,2321000,2321000
606,2321000,2321000
607,2321000,2321000
608,2321000,2321000
609,2322000,2322000
610,2322000,2322000
611,2322000,2322000
612,2322000,2322000
613,2322000,2322000
614,2322000,2322000
615,2322000,2322000
616,2323000,2323000
617,2323000,2323000
618,2323000,2323000
619,2323000,2323000
620,2323000,2323000
621,2323000,2323000
622,2323000,2323000
623,2323000,2323000
624,2324000,2324000
625,2324000,2324000
626,2324000,2324000
627,2324000,2324000
628,2324000,2324000
629,2324000,2324000
630,2324000,2324000
631,2324000,2324000
632,2324000,2324000
633,2325000,2325000
634,2325000,2325000
635,2325000,2325000
636,2325000,2325000
637,2325000,2325000
638,2325000,2325000
639,2325000,2325000
640,2325000,2325000
641,2325000,2325000
642,2325000,2325000
643,2326000,2326000
644,2326000,2326000
645,2326000,2326000
646,2326000,2326000
647,2326000,2326000
648,2326000,2326000
649,2326000,2326000
650,2326000,2326000
651,2326000,2326000
652,2326000,2326000
653,2326000,2326000
654,2326000,2326000
655,2326000,2326000
656,2327000,2327000
657,2327000,2327000
658,2327000,2327000
659,2327000,2327000
660,2327000,2327000
661,2327000,2327000
662,2327000,2327000
663,2327000,2327000
664,2327000,2327000
665,2327000,2327000
666,2327000,2327000
667,2327000,2327000
668,2327000,2327000
669,2327000,2327000
670,2327000,2327000
671,2328000,2328000
672,2328000,2328000
673,2328000,2328000
674,2328000,2328000
675,2328000,2328000
676,2328000,2328000
677,2328000,2328000
678,2328000,2328000
679,2328000,2328000
680,2328000,2328000
681,2328000,2328000
682,2328000,2328000
683,2328000,2328000
684,2328000,2328000
685,2328000,2328000
686,2328000,2328000
687,2328000,2328000
688,2328000,2328000
689,2328000,2328000
690,2328000,2328000
691,2329000,2329000
692,2329000,2329000
693,2329000,2329000
694,2329000,2329000
695,2329000,2329000
696,2329000,2329000
697,2329000,2329000
698,2329000,2329000
699,2329000,2329000
700,2329000,2329000
701,2329000,2329000
702,2329000,2329000
703,2329000,2329000
704,2329000,2329000
705,2329000,2329000
706,2329000,2329000
707,2329000,2329000
708,2329000,2329000
709,2329000,2329000
710,2329000,2329000
711,2329000,2329000
712,2329000,2329000
713,2329000,2329000
714,2329000,2329000
715,2329000,2329000
716,2329000,2329000
717,2330000,2330000
718,2330000,2330000
719,2330000,2330000
720,2330000,2330000
721,2330000,2330000
722,2330000,2330000
723,2330000,2330000
724,2330000,2330000
725,2330000,2330000
726,2330000,2330000
727,2330000,2330000
728,2330000,2330000
729,2330000,2330000
730,2330000,2330000
731,2330000,2330000
732,2330000,2330000
733,2330000,2330000
734,2330000,2330000
735,2330000,2330000
736,2330000,2330000
737,2330000,2330000
738,2330000,2330000
739,2330000,2330000
740,2330000,2330000
741,2330000,2330000
742,2330000,2330000
743,2330000,2330000
744,2330000,2330000
745,2330000,2330000
746,2330000,2330000
747,2330000,2330000
748,2330000,2330000
749,2330000,2330000
750,2330000,2330000
751,2330000,2330000
752,2330000,2330000
753,2330000,2330000
754,2330000,2330000
755,2330000,2330000
756,2330000,2330000
757,2330000,2330000
758,2330000,2330000
759,2330000,2330000
760,2331000,2331000
761,2331000,2331000
762,2331000,2331000
763,2331000,2331000
764,2331000,2331000
765,2331000,2331000
766,2331000,2331000
767,2331000,2331000
768,2331000,2331000
769,2331000,2331000
770,2331000,2331000
771,2331000,2331000
772,2331000,2331000
773,2331000,2331000
774,2331000,2331000
775,2331000,2331000
776,2331000,2331000
777,2331000,2331000
778,2331000,2331000
779,2331000,2331000
780,2331000,2331000
781,2331000,2331000
782,2331000,2331000
783,2331000,2331000
784,2331000,2331000
785,2331000,2331000
786,2331000,2331000
787,2331000,2331000
788,2331000,2331000
789,2331000,2331000
790,2331000,2331000
791,2331000,2331000
792,2331000,2331000
793,2331000,2331000
794,2331000,2331000
795,2331000,2331000
796,2331000,2331000
797,2331000,2331000
798,2331000,2331000
799,2331000,2331000
800,2331000,2331000
801,2331000,2331000
802,2331000,2331000
803,2331000,2331000
804,2331000,2331000
805,2331000,2331000
806,2331000,2331000
807,2331000,2331000
808,2331000,2331000
809,2331000,2331000
810,2331000,2331000
811,2331000,2331000
812,2331000,2331000
813,2331000,2331000
814,2331000,2331000
815,2331000,2331000
816,2331000,2331000
817,2331000,2331000
818,2331000,2331000
819,2331000,2331000
820,2331000,2331000
821,2331000,2331000
822,2331000,2331000
823,2331000,2331000
824,2331000,2331000
825,2331000,2331000
826,2331000,2331000
827,2331000,2331000
828,2331000,2331000
829,2331000,2331000
830,2331000,2331000
831,2331000,2331000
832,2331000,2331000
833,2331000,2331000
834,2331000,2331000
835,2331000,2331000
836,2331000,2331000
837,2331000,2331000
838,2331000,2331000
839,2331000,2331000
840,2331000,2331000
841,2331000,2331000
842,2331000,2331000
843,2331000,2331000
844,2331000,2331000
845,2331000,2331000
846,2331000,2331000
847,2331000,2331000
848,2331000,2331000
849,2331000,2331000
850,2331000,2331000
851,2331000,2331000
852,2331000,2331000
853,2331000,2331000
854,2331000,2331000
