p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran") 130n) (-real)
614.0,783.4E3
615.0,783.4E3
616.0,783.4E3
617.0,783.4E3
618.0,783.4E3
619.0,783.4E3
620.0,783.4E3
621.0,783.4E3
622.0,783.4E3
623.0,783.4E3
624.0,783.4E3
625.0,783.4E3
626.0,783.4E3
627.0,783.4E3
628.0,783.4E3
629.0,783.4E3
630.0,783.4E3
631.0,783.4E3
632.0,783.4E3
633.0,783.4E3
634.0,783.4E3
635.0,783.4E3
636.0,783.4E3
637.0,783.4E3
638.0,783.4E3
639.0,783.4E3
640.0,783.4E3
641.0,783.4E3
642.0,783.4E3
643.0,783.4E3
644.0,783.4E3
645.0,783.4E3
646.0,783.5E3
647.0,783.5E3
648.0,783.5E3
649.0,783.5E3
650.0,783.5E3
651.0,783.5E3
652.0,783.5E3
653.0,783.5E3
654.0,783.5E3
655.0,783.5E3
656.0,783.5E3
657.0,783.5E3
658.0,783.5E3
659.0,783.5E3
660.0,783.5E3
661.0,783.5E3
662.0,783.5E3
663.0,783.5E3
664.0,783.5E3
665.0,783.5E3
666.0,783.5E3
667.0,783.5E3
668.0,783.5E3
669.0,783.5E3
670.0,783.5E3
671.0,783.5E3
672.0,783.5E3
673.0,783.5E3
674.0,783.5E3
675.0,783.5E3
676.0,783.5E3
677.0,783.5E3
678.0,783.5E3
679.0,783.5E3
680.0,783.5E3
681.0,783.5E3
682.0,783.5E3
683.0,783.5E3
684.0,783.5E3
685.0,783.5E3
686.0,783.5E3
687.0,783.5E3
688.0,783.5E3
689.0,783.5E3
690.0,783.5E3
691.0,783.5E3
692.0,783.5E3
693.0,783.5E3
694.0,783.5E3
695.0,783.5E3
696.0,783.5E3
697.0,783.5E3
698.0,783.5E3
699.0,783.5E3
700.0,783.5E3
701.0,783.5E3
702.0,783.5E3
703.0,783.5E3
704.0,783.5E3
705.0,783.5E3
706.0,783.5E3
707.0,783.5E3
708.0,783.5E3
709.0,783.5E3
710.0,783.5E3
711.0,783.5E3
712.0,783.5E3
713.0,783.5E3
714.0,783.5E3
715.0,783.5E3
716.0,783.5E3
717.0,783.5E3
718.0,783.5E3
719.0,783.5E3
720.0,783.5E3
721.0,783.5E3
722.0,783.5E3
723.0,783.5E3
724.0,783.5E3
725.0,783.5E3
726.0,783.5E3
727.0,783.5E3
728.0,783.5E3
729.0,783.5E3
730.0,783.5E3
731.0,783.5E3
732.0,783.5E3
733.0,783.5E3
734.0,783.5E3
735.0,783.5E3
736.0,783.5E3
737.0,783.5E3
738.0,783.5E3
739.0,783.5E3
740.0,783.5E3
741.0,783.5E3
742.0,783.5E3
743.0,783.5E3
744.0,783.5E3
745.0,783.5E3
746.0,783.5E3
747.0,783.5E3
748.0,783.5E3
749.0,783.5E3
750.0,783.5E3
751.0,783.5E3
752.0,783.5E3
753.0,783.5E3
754.0,783.5E3
755.0,783.5E3
756.0,783.5E3
757.0,783.5E3
758.0,783.5E3
759.0,783.5E3
760.0,783.5E3
761.0,783.5E3
762.0,783.5E3
763.0,783.5E3
764.0,783.5E3
765.0,783.5E3
766.0,783.5E3
767.0,783.5E3
768.0,783.5E3
769.0,783.5E3
770.0,783.5E3
771.0,783.5E3
772.0,783.5E3
773.0,783.5E3
774.0,783.5E3
775.0,783.5E3
776.0,783.5E3
777.0,783.5E3
778.0,783.5E3
779.0,783.5E3
780.0,783.5E3
781.0,783.5E3
782.0,783.5E3
783.0,783.5E3
784.0,783.5E3
785.0,783.5E3
